162638	643136	63642
139673	536175	56296
101416	500149	53390
85518	398505	39149
83222	373681	43564
98433	399776	45880
77524	392714	45182
76631	373894	45508
91369	384677	59708
85848	375265	43934
72050	396295	43476
81870	361497	47879
96802	384977	47089
78702	365938	44863
92200	368994	44883
86335	372098	47763
75050	396512	59215
88387	359095	43205
89864	365646	43993
76025	391773	46465
89171	367413	47677
78005	367620	45567
91725	363102	38496
81050	412925	48760
87315	381883	46542
74945	379895	46384
88397	358284	47890
77408	399085	46699
68905	370137	55241
102460	372669	49649
