67487	252210	39885
143309	194994	36900
84243	186260	39948
77673	196294	49420
79243	246756	58283
88598	215088	40162
80633	269322	52310
80789	261156	53450
207245	222752	49372
127840	249782	33495
65606	224485	34543
77441	207271	41534
64952	313731	50798
74100	254195	54813
82584	216241	37879
61175	179641	32516
63889	191032	44869
219320	277986	55973
62614	191036	45250
258051	187566	33716
61249	195415	36977
80584	208671	35726
59499	185917	35702
61365	194686	38529
66638	218178	37269
73126	204058	39879
78777	207741	48876
66785	206100	43283
74675	258588	44596
70324	191356	40204
