141628	467952	71479
198293	485204	63218
149155	472668	78926
154443	468987	66956
129480	469084	63252
146690	479458	62192
154483	438701	63068
138154	452787	64147
158316	464856	70460
317373	488385	66058
138131	503828	71898
145132	473692	76321
148615	441510	65910
129229	463436	78512
182358	456221	74777
138543	505617	72744
124746	468941	73280
147286	447175	77721
150488	480066	73137
128075	497825	62005
158805	480557	64088
139660	450367	66139
130118	448277	59648
141303	451707	65924
139453	507301	70523
131647	484907	79126
151430	424409	80101
156332	472838	74610
127667	451813	66582
160496	439836	59958
